name,kda,dpg,goldEarned,wardsPlaced,champLevel,totalDamageDealtToChampions,totalMinionsKilled,timeCCingOthers
af bang,3.01,22.69,8.85,10.4,11.6,13.95,14.54,6.65
af dread,5.13,26.01,10.6,8.2,13.45,15.4,5.62,15.2
af fly,3.86,24.78,9.7,10.25,13.45,15.0,16.29,25.95
af kiin,3.46,27.73,10.45,9.05,13.8,17.2,15.79,15.55
af lehends,4.56,16.1,7.2,28.4,11.05,9.0,3.72,22.0
bro delight,3.63,12.22,6.25,32.45,10.75,6.05,2.98,20.55
bro hena,4.92,24.63,10.55,17.45,12.35,14.2,17.14,13.7
bro hoya,4.63,25.44,9.85,8.0,13.6,15.5,15.93,16.2
bro lava,1.93,27.65,11.0,8.9,14.65,16.8,19.39,34.15
bro umti,5.7,29.75,11.05,9.65,13.9,18.7,5.07,17.75
drx bao,3.6,27.09,9.85,9.6,12.0,17.3,16.26,8.5
drx becca,4.13,17.63,7.9,35.5,12.0,9.75,2.0,28.6
drx kingen,2.57,25.06,9.1,7.25,12.5,15.9,12.83,25.1
drx pyosik,4.48,29.99,10.8,6.25,13.55,19.1,3.63,13.0
drx solka,4.01,24.98,9.75,11.55,13.25,15.2,15.04,40.75
dwg beryl,4.06,12.34,6.25,26.25,10.4,6.1,4.2,24.85
dwg canyon,4.51,23.48,9.4,8.45,13.0,14.0,2.78,29.8
dwg ghost,3.1,25.41,9.75,10.6,11.75,15.5,14.5,10.95
dwg khan,2.72,23.84,9.15,9.05,12.7,14.75,14.18,16.15
dwg showmaker,3.14,23.6,8.9,8.6,12.7,14.65,15.34,10.15
gen.g bdd,3.21,24.93,9.35,11.8,12.8,15.55,13.33,13.35
gen.g clid,3.77,23.73,9.25,13.1,12.75,14.65,4.27,24.25
gen.g life,3.44,13.84,6.35,27.05,10.65,7.45,2.53,29.05
gen.g rascal,2.33,24.51,9.45,8.1,13.1,14.95,14.67,21.75
gen.g ruler,2.76,35.31,12.5,10.45,13.6,22.9,19.5,10.8
hle arthur,4.65,27.0,10.95,7.9,13.05,16.1,4.59,73.85
hle chovy,3.26,28.22,10.0,9.8,13.4,18.3,16.18,20.1
hle deft,2.76,29.49,11.05,6.7,13.1,18.4,18.17,5.85
hle dudu,1.94,28.42,10.15,7.35,13.8,18.35,16.5,10.1
hle vsta,6.39,18.64,7.95,24.4,11.5,10.75,5.4,23.5
kt doran,2.59,30.73,10.85,8.65,13.85,19.95,15.42,14.85
kt gideon,5.56,25.37,10.45,8.4,13.1,14.9,4.01,15.3
kt hybrid,3.94,27.09,10.4,7.5,12.65,16.75,16.04,6.7
kt ucal,3.96,20.14,8.4,5.95,12.35,11.8,14.53,14.5
kt zzus,3.77,14.07,6.75,23.5,10.4,7.45,2.88,27.95
liiv effort,4.83,14.82,6.9,23.8,10.75,7.95,3.48,25.4
liiv fate,5.9,26.54,10.4,9.9,13.8,16.15,17.21,14.3
liiv onfleek,4.97,22.5,9.5,7.15,12.1,13.1,5.74,12.95
liiv prince,3.3,24.56,9.6,9.8,11.15,15.1,14.22,9.1
liiv summit,7.3,31.03,11.95,10.5,14.5,19.05,17.1,45.85
ns deokdam,3.4,32.79,11.8,10.3,13.45,21.0,16.97,9.05
ns gori,4.29,27.08,10.55,7.65,13.6,16.6,17.18,19.65
ns kellin,4.37,12.63,6.55,39.1,10.45,6.0,2.5,23.5
ns peanut,2.39,22.04,9.25,10.95,13.05,12.65,6.05,24.0
ns rich,2.11,28.39,9.9,8.35,13.8,18.45,15.78,17.25
t1 canna,2.84,26.06,10.35,9.15,13.95,15.75,16.66,14.05
t1 cuzz,6.93,24.06,9.7,6.95,13.25,14.3,4.5,13.25
t1 faker,3.92,24.06,9.9,12.35,13.2,14.2,14.46,12.75
t1 keria,3.26,20.66,8.3,33.95,11.7,12.35,4.37,24.7
t1 teddy,3.48,31.44,11.3,13.45,13.15,20.1,15.6,16.7
